歌单ID,歌单名称,歌单类型,标签,创建时间,最后更新时间,歌曲数量,播放量,收藏量,分享量,评论数,创建者,性别,用户类型,VIP类型,省份,城市
26467411,那些你熟悉却又不知道名字的轻音乐,,轻音乐、学习、治愈,2014-08-30,2022-01-03,44,119855968,2637419,38167,7154,Lelow,男,0,0,440000,440300
13149546069,合伙人爱听｜我们为什么喜欢摇滚乐,,摇滚、华语、欧美,2025-01-16,2025-03-06,50,11708,45,1,9,音乐合伙人,女,10,11,330000,330100
13400885874,春日缱绻  邂逅一场美好蓄意浪漫,,华语、清新,2025-03-04,2025-04-09,50,63616,448,23,11,独家记忆图文馆,男,200,11,510000,510100
13375692501,合伙人优选｜可惜你不听英文歌 也不懂我,,欧美、流行、放松,2025-02-27,2025-04-08,50,11229,62,0,0,音乐合伙人,女,10,11,330000,330100
13032410131,『欧美R&B』如果忧郁是种天赋,,欧美、R&B/Soul、蓝调,2024-12-22,2025-04-06,117,105337,831,25,4,只是长胖Zzz,男,0,11,370000,370200
13164652785,超绝进鼓|拯救心灵的超爽力量,,流行、说唱,2025-01-18,2025-04-13,117,207377,2040,15,8,iambeiqing,女,200,11,海外,海外
13283258480,合伙人热荐｜和欧美情歌一起坠入爱河,,欧美、浪漫、流行,2025-02-07,2025-03-06,50,1813,19,0,1,音乐合伙人,女,10,11,330000,330100
12937783580,【高质量纯音】带你放松|享受自然,,学习、治愈、轻音乐,2024-12-01,2025-04-13,104,261444,4565,88,26,csy流云,女,0,11,340000,340200
13373969559,合伙人推荐｜爱上华语R&B这辈子就定型了,,华语、R&B/Soul、散步,2025-02-27,2025-04-08,50,6042,32,3,0,音乐合伙人,女,10,11,330000,330100
12810702009,【2025音律联觉】熠曲丰碑歌单(看简介),,游戏、ACG,2024-11-03,2025-04-13,30,7835,187,33,0,医疗干员_MAT,女,0,11,330000,330200
