Song,Address,Singer,Album
光辉岁月,https://music.163.com/song?id=346576,Beyond,光辉岁月十五年
海阔天空,https://music.163.com/song?id=1357375695,Beyond,华纳廿三周年纪念精选系列 - B﻿eyond
灰色轨迹,https://music.163.com/song?id=32701152,Beyond,Beyond 24K Gold 金碟至尊精选
真的爱你,https://music.163.com/song?id=346075,Beyond,Beyond 25th Anniversary
不再犹豫,https://music.163.com/song?id=347597,Beyond,Deliberate 犹豫 (Remastered 2020)
大地,https://music.163.com/song?id=347758,Beyond,秘密警察
喜欢你,https://music.163.com/song?id=346073,Beyond,Beyond 25th Anniversary
冷雨夜,https://music.163.com/song?id=346069,Beyond,Beyond 25th Anniversary
情人,https://music.163.com/song?id=347241,Beyond,海阔天空
谁伴我闯荡,https://music.163.com/song?id=346085,Beyond,Beyond 25th Anniversary
Amani,https://music.163.com/song?id=346083,Beyond,Beyond 25th Anniversary
我是愤怒,https://music.163.com/song?id=347344,Beyond,乐与怒
午夜怨曲,https://music.163.com/song?id=346079,Beyond,Beyond 25th Anniversary
无悔这一生,https://music.163.com/song?id=347712,Beyond,真的见证
逝去日子,https://music.163.com/song?id=346076,Beyond,Beyond 25th Anniversary
无尽空虚,https://music.163.com/song?id=346591,Beyond,光辉岁月十五年
无泪的遗憾,https://music.163.com/song?id=347114,Beyond,黄家驹原作精选集 CD1
农民,https://music.163.com/song?id=347502,Beyond,继续革命
曾是拥有,https://music.163.com/song?id=347722,Beyond,Beyond Ⅳ
岁月无声,https://music.163.com/song?id=469296056,Beyond,Beyond The Legend
报答一生,https://music.163.com/song?id=346347,Beyond,Best Of Millennium
遥望,https://music.163.com/song?id=347508,Beyond,继续革命
俾面派对,https://music.163.com/song?id=346082,Beyond,Beyond 25th Anniversary
旧日的足迹,https://music.163.com/song?id=347537,Beyond,Control
再见理想,https://music.163.com/song?id=5266094,Beyond,组·Band岁月
不可一世,https://music.163.com/song?id=1357373987,Beyond,华纳超极品音色系列
冲开一切,https://music.163.com/song?id=346071,Beyond,Beyond 25th Anniversary
可否冲破,https://music.163.com/song?id=347511,Beyond,继续革命
为了你 为了我,https://music.163.com/song?id=347272,Beyond,遥望黄家驹不死音乐精神
长空,https://music.163.com/song?id=4876684,Beyond,无间道Ⅱ
交织千个心,https://music.163.com/song?id=347708,Beyond,真的见证
未曾后悔,https://music.163.com/song?id=347704,Beyond,天若有情 电影原声带
早班火车,https://music.163.com/song?id=347514,Beyond,继续革命
原谅我今天,https://music.163.com/song?id=347729,Beyond,Beyond Ⅳ
无声的告别,https://music.163.com/song?id=346067,Beyond,Beyond 25th Anniversary
愿我能,https://music.163.com/song?id=346074,Beyond,Beyond 25th Anniversary
是错也再不分,https://music.163.com/song?id=347703,Beyond,天若有情 电影原声带
唱不完的歌,https://music.163.com/song?id=5257640,Beyond,Cinepoly 5th Anniversary
你知道我的迷惘,https://music.163.com/song?id=347687,Beyond,大地
十八,https://music.163.com/song?id=346457,Beyond,Good Time
遥远的Paradise,https://music.163.com/song?id=347208,Beyond,二楼后座
爆裂都市,https://music.163.com/song?id=347726,Beyond,Beyond Ⅳ
亚拉伯跳舞女郎,https://music.163.com/song?id=346066,Beyond,Beyond 25th Anniversary
高温派对,https://music.163.com/song?id=346086,Beyond,Beyond 25th Anniversary
曾经拥有,https://music.163.com/song?id=347624,Beyond,光辉岁月
永远的朋友,https://music.163.com/song?id=5284499,张淘淘,永远的朋友
遥かなる梦に〜Far away〜 (OT：海阔天空),https://music.163.com/song?id=347247,Beyond,海阔天空
无语问苍天,https://music.163.com/song?id=347255,Beyond,遥望黄家驹不死音乐精神
月光光(Live),https://music.163.com/song?id=347578,Beyond,Beyond Live 1991 生命接触演唱会
喜欢妳,https://music.163.com/song?id=2063748310,Beyond,九一．接触
